Custom,Personalizado
"Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. https://example.com/magento/","Os links devem terminar com '/'"
"Use Secure URLs on Storefront","Use Secure URLs on Storefront"
"Use SID on Storefront","Use SID on Storefront"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"For Windows server only.","For Windows server only."
"Enabled Template Path Hints for Storefront","Enabled Template Path Hints for Storefront"
"Enabled Template Path Hints for Admin","Enabled Template Path Hints for Admin"
"Minify Html","Minify Html"
"Enabled for Storefront","Enabled for Storefront"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.", "Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations."
"Enable Javascript Bundling","Enable Javascript Bundling"
"Minify CSS Files","Minify CSS Files"
"When the adapter was changed, please, flush Catalog Images Cache.","When the adapter was changed, please, flush Catalog Images Cache."
"Average Order","Média dos pedidos"
"Reload Data","Atualizar"
"Welcome, please sign in","Bem vindo! Faça seu login."
"Sign In","Entrar"
"Sign in","Entrar"
"Filters","Filtros"
"Active filters:","Filtros aplicados:"
"Please wait...","Aguarde..."
"Selected Attributes","Atributos Selecionados"
or,ou
"Delete items","Excluir Itens"
"Delete selected items?","Excluir itens selecionados?"
selected,selecionado(s)
"Other Settings","Outras Configurações"
"Data Transfer","Transferência de Dados"
Address,Endereço
"The order confirmation email was sent","Email de confirmação foi enviado"
"Your current session has been expired.","Sua sessão expirou."
"Are you sure to delete selected customers?","Deseja mesmo excluir os clientes selecionados?"
"Use system value","Usar padrão",
"Store View:","Visões de loja"
"Phone","Fone"
"Add New","Novo"
"Add New Endereços","Adicionar"
"New Shipment for Guest","Novo Envio Para Visitante"
"You saved the email template.","Salvo com sucesso"
"You saved the synonym group.","Salvo com sucesso"
"The synonym group has been deleted.","Excluído com sucesso"
"You saved the search term.","Salvo com sucesso"
"View/Edit","Ver/Editar"
"You saved the rule.","Salvo com sucesso"
"You deleted the rule.","Excluído com sucesso"
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Um ou mais <a href=""%1"">índices estão inválidos</a>. Veja se seu <a href=""%2"" target=""_blank"">Magento cron job</a> está rodando."
"Are you sure you want to delete this template?","Tem certeza?"
"You deleted the email template.","Excluído com sucesso"
"You deleted the block.","Excluído com sucesso"
"Design Configuration","Configuração de Design"
"Theme Name","Nome do Tema"
"Save and Continue","Salvar e Continuar"
"Save Configuration","Salvar"
"Default Theme","Tema Padrão"
"Applied Theme","Tema Aplicado"
"If no value is specified, the system default is used. The system default may be modified by third party extensions.",""
"Design Rule","Regra de Aplicação"
"User Agent Rules","Regra de User Agent"
"User agent exceptions override product and CMS pages rules.","Exceções de User Agent sobrescrevem as regras de Produtos e Páginas"
"Add New User Agent Rule Rule","Adicionar"
"Store Design Schedule","Agendamento de Design"
"Web Site Information","Informações do Website"
"Save Web Site","Salvar"
"Before modifying the website code please make sure it is not used in index.php.","Antes de modificar o código tenha certeza de que ele não é usando no index.php"
"Before modifying the store view code please make sure it is not used in index.php.","Antes de modificar o código tenha certeza de que ele não é usando no index.php"
